FIPS,45.5_objective,Adj.Death_rate,low_death_rate,upper_death_rate,avg_deaths,recent_trend,recent_5_year_trend,lower_trend,upper_trend
0,1.0,0.6157231224554909,0.6951571413015412,0.47074240986411375,1.0,0.6666666666666666,0.48062015503875966,0.859882005899705,0.09162895927601811
21193,1.0,1.0,1.0,0.8896924829411195,0.2449982997433216,1.0,0.5085271317829457,0.8584070796460177,0.13461538461538464
21197,1.0,0.9990851244280992,0.9706217494013842,0.916462670560588,0.1648689365489514,1.0,0.5441860465116278,0.8982300884955752,0.15497737556561086
2185,1.0,0.9978618770677905,0.8588736928252843,1.0,0.04700367365075955,0.3333333333333333,0.5054263565891473,0.8672566371681415,0.1233031674208145
21189,1.0,0.9777385053594188,0.9045967780251263,0.9403057172738436,0.09025110716999005,1.0,0.551937984496124,0.8923303834808259,0.17081447963800908
12125,1.0,0.9612458530238146,0.9323489217213017,0.8824888219580376,0.16984393761693944,0.6666666666666666,0.48372093023255813,0.8348082595870207,0.11651583710407241
21147,1.0,0.9530695072060904,0.9350856578588764,0.8652005282790509,0.1833336717578783,0.0,0.8728682170542634,1.0,0.584841628959276
21131,1.0,0.9503047595926297,0.9207793045104085,0.8748759212931347,0.15403111809972542,1.0,0.5302325581395348,0.887905604719764,0.14366515837104074
21159,1.0,0.9461198104484363,0.9117421194043176,0.8743450325603612,0.14174421292299969,1.0,0.537984496124031,0.8864306784660767,0.15497737556561086
21165,1.0,0.9350919163853513,0.8749361960497064,0.890201665197472,0.10108892561921606,1.0,0.5395348837209302,0.8775811209439528,0.165158371040724
21109,1.0,0.9300054368958068,0.9041719234142644,0.8527365569402874,0.15960949907061783,1.0,0.5302325581395348,0.8775811209439528,0.15045248868778283
5111,1.0,0.9259609271975664,0.9248118251072059,0.8252509953243035,0.22064258644735896,1.0,0.5147286821705426,0.8775811209439528,0.12782805429864255
47139,1.0,0.9252209457560332,0.9146427722426713,0.8345445330221632,0.19509627292073517,1.0,0.5255813953488372,0.8805309734513274,0.1402714932126697
21071,1.0,0.9077939397031092,0.9171102068552177,0.7988187983213011,0.25318281205096993,1.0,0.5271317829457364,0.8923303834808259,0.13461538461538464
21045,1.0,0.9070179348001308,0.892503099808974,0.8218959497309795,0.17905312761248038,1.0,0.5271317829457364,0.887905604719764,0.13914027149321267
29123,1.0,0.9070179348001308,0.8854016432613148,0.8291769465447889,0.15960949907061783,1.0,0.5131782945736434,0.8702064896755162,0.13122171945701358
29133,1.0,0.9019351684496357,0.8804351392178746,0.8240345209043709,0.15960949907061783,1.0,0.5224806201550387,0.8775811209439528,0.13800904977375567
21051,1.0,0.899170063999355,0.8862971810813713,0.8125869650404987,0.1833336717578783,1.0,0.5364341085271318,0.8923303834808259,0.1481900452488688
2180,1.0,0.8975809847219174,0.7978145736385334,0.8830080799090037,0.06378001092973537,0.3333333333333333,0.5054263565891473,0.8672566371681415,0.1233031674208145
21133,1.0,0.8975809847219174,0.8942563541576796,0.8023903017752876,0.20875315534646727,1.0,0.5116279069767442,0.8731563421828908,0.12782805429864255
21235,1.0,0.8955853083863212,0.90203994283905,0.7912369916793871,0.23601408566786575,1.0,0.5147286821705426,0.8746312684365781,0.13122171945701358
21095,1.0,0.8943828863823413,0.8968700084174075,0.7942224477951347,0.22338951000035318,1.0,0.5271317829457364,0.8893805309734513,0.13800904977375567
54045,1.0,0.8935791669985071,0.9033206764110557,0.78654418229595,0.24918152488919165,0.6666666666666666,0.5007751937984496,0.8657817109144542,0.11651583710407241
47151,1.0,0.8927737555726167,0.88405406029282,0.8027132687755585,0.19134003278920614,1.0,0.5162790697674419,0.8790560471976401,0.13009049773755657
21183,1.0,0.891562450225059,0.8889702371361619,0.7968559711811201,0.2055242238527351,1.0,0.5224806201550387,0.883480825958702,0.13461538461538464
21023,1.0,0.8838004803588024,0.8307118351151732,0.836905183323984,0.10108892561921606,1.0,0.5193798449612402,0.8731563421828908,0.13800904977375567
21115,1.0,0.8829741943226961,0.8781543186598941,0.7912369916793871,0.20217785123843213,1.0,0.5209302325581395,0.8849557522123893,0.13122171945701358
29035,1.0,0.8821461197872809,0.8162863193521315,0.8479156664834382,0.09025110716999005,1.0,0.5364341085271318,0.8805309734513274,0.15837104072398192
21223,1.0,0.8804845741310197,0.8254375708158559,0.8342483823095137,0.10108892561921606,1.0,0.531782945736434,0.8805309734513274,0.15158371040723984
5107,1.0,0.87587776077899,0.8679397663236283,0.7878911130042026,0.18742390537943537,1.0,0.5209302325581395,0.8849557522123893,0.13122171945701358
21129,1.0,0.87587776077899,0.8190025892076853,0.8342483823095137,0.10108892561921606,1.0,0.5100775193798449,0.8584070796460177,0.13800904977375567
29155,1.0,0.874611669322283,0.8593567068797558,0.7928985727078985,0.16984393761693944,1.0,0.5193798449612402,0.8775811209439528,0.13687782805429866
21099,1.0,0.8733413739017266,0.8612821780246638,0.7899022947012428,0.17905312761248038,1.0,0.5224806201550387,0.8805309734513274,0.13687782805429866
21181,1.0,0.8707880588444081,0.8124480655251074,0.830675826384704,0.09025110716999005,1.0,0.5162790697674419,0.8672566371681415,0.13800904977375567
21103,1.0,0.8695049823393233,0.8480765810388748,0.7948826006037646,0.15960949907061783,1.0,0.5410852713178295,0.8923303834808259,0.15497737556561086
21203,1.0,0.8690763321140895,0.8530253537702315,0.7892331234066674,0.16984393761693944,1.0,0.5255813953488372,0.8849557522123893,0.13914027149321267
48461,1.0,0.8686472010696578,0.7385050416074987,0.8894376269203903,0.0,0.3333333333333333,0.5054263565891473,0.8672566371681415,0.1233031674208145
